,track_name,danceability,loudness,acousticness,instrumentalness,valence,energy,genre,,
0,mohabbat bhi jhoothi,0.392,-17.945,0.994,0.891,0.353,0.137,pop,,
1,i believe,0.442,-5.214,0.0538,4.71E-06,0.622,0.846,pop,,
2,cry,0.406,-10.449,0.756,0.678,0.163,0.399,pop,,
3,patricia,0.548,-10.551,0.644,0,0.936,0.532,pop,,
4,apopse eida oneiro,0.267,-9.129,0.962,0.000199,0.615,0.436,pop,,
5,round and round (with mitchell ayres and his orchestra & the ray charles singers),0.707,-12.264,0.913,0,0.764,0.452,pop,,
6,opm medley: when i met you,0.403,-10.941,0.434,0,0.302,0.486,pop,,
7,it's not for me to say,0.369,-10.827,0.891,3.91E-06,0.399,0.29,pop,,
8,klapse me mana klapse me,0.553,-8.803,0.863,0,0.532,0.357,pop,,
9,finito la mouzika,0.613,-7.603,0.971,8.59E-06,0.77,0.425,pop,,
10,"drømmer man om den, vågner..",0.642,-16.3,0.991,0.0316,0.737,0.267,pop,,
11,carolina moon,0.538,-7.574,0.642,0,0.405,0.472,pop,,
12,necessary evil,0.828,-7.217,0.045,0.0606,0.695,0.724,pop,,
13,kanugona galano,0.495,-6.574,0.918,0.578,0.617,0.602,pop,,
14,the carioca,0.968,-9.035,0.222,0.00027,0.776,0.469,pop,,
15,chicken reel,0.642,-6.192,0.355,0.551,0.971,0.65,pop,,
16,blue skies,0.611,-10.225,0.837,0,0.604,0.285,pop,,
17,dark eyes,0.2,-9.61,0.88,0.00201,0.279,0.589,pop,,
18,kotha mukunda,0.412,-14.515,0.981,0.566,0.444,0.288,pop,,
19,awaz deta hai sola ka din,0.523,-9.379,0.993,0.000572,0.706,0.24,pop,,
20,jahan men log sachhe ashikon ko,0.561,-9.856,0.983,0,0.604,0.252,pop,,
21,avanee nee pathi,0.397,-17.258,0.963,0.233,0.432,0.343,pop,,
22,ee jagamantha natika,0.468,-12.021,0.975,0.000767,0.795,0.399,pop,,
23,smoke rings,0.534,-7.148,0.277,0.000359,0.147,0.596,pop,,
24,hum tujhse mohabbat kar ke,0.709,-8.079,0.858,0.00483,0.606,0.199,pop,,
25,paas nahin aaiye haath na lagaiye,0.476,-10.101,0.763,0,0.857,0.541,pop,,
26,main na janoon,0.625,-11.708,0.949,0.912,0.911,0.335,pop,,
27,gullyachi shapath,0.779,-11.345,0.982,0.0288,0.937,0.452,pop,,
28,judai ki khabar hoti agar,0.464,-15.188,0.995,0.641,0.246,0.182,pop,,
